record,orthography_present,model_present,actual_present,alignment_present,equal_num_groups,cammorales_model_transcription,cammorales_actual_transcription,egarcia5_model_transcription,egarcia5_actual_transcription,num_transcribers
1,True,True,True,True,True,True,True,True,True,2
2,True,True,True,True,True,True,True,True,True,2
3,True,True,True,True,True,True,True,True,True,2
4,True,True,True,True,True,True,True,True,True,2
5,True,True,True,True,True,True,True,True,True,2
6,True,True,True,True,True,True,True,True,False,2
7,True,True,True,True,True,True,True,True,False,2
8,True,True,True,True,True,True,True,True,False,2
9,True,True,True,True,True,True,True,True,False,2
10,True,True,True,True,True,True,True,True,False,2
11,True,True,True,True,True,True,True,True,False,2
12,True,True,True,True,True,True,True,True,False,2
13,True,True,True,True,True,True,True,True,False,2
14,True,True,True,True,True,True,True,True,False,2
15,True,True,True,True,True,True,True,True,False,2
16,True,True,True,True,True,True,True,True,False,2
17,True,True,True,True,True,True,True,True,False,2
18,True,True,True,True,True,True,True,True,False,2
